"","state","population","median.age","Black.perc","Hispanic.or.Latino.perc","area","HS_perc","college_perc","Associate_perc","Bachelor_perc","Gradprof_perc","HS_orhigher_perc","Bachelor_orhigher_perc","poverty_perc","Age_gp1","Age_gp2","Age_gp3","Age_gp4","density","q_popdensity","q_poverty","State_abbrev","stateFIPS","mean_winter_temp","mean_summer_temp","mean_winter_rm","mean_summer_rm","winter_tmmx","summer_tmmx","beds","smoke_perc","obese_perc","inactive_perc","diabetes_perc","bed_rate"
"37","Oregon",4081943,39.2,1.9,12.8,98379,"23","25.7","8.8","20.5","12.4","90.4","32.9",14.1,0.236702717,0.336914308,0.259171919,0.167211056,41.4920155724291,2,2,"OR",41,279.513256615146,298.557657463692,92.8765189949806,78.8362448920784,43.4538619072629,77.7337834346457,7624,0.314594594594595,0.15431986827027,0.215837837837838,0.109918918918919,186.773798654219
"38","Pennsylvania",12791181,40.7,11.1,7.1,46054,"35.1","16","8.3","18.6","12.1","90.2","30.8",12.8,0.236692218,0.313123159,0.275856623,0.174328,277.743105919138,5,2,"PA",42,275.736817628259,300.030510965819,85.8395907838092,90.8576288545886,36.6562717308663,80.3849197384743,46167,0.325147058823529,0.17951496025,0.252882352941176,0.115617647058824,360.928361501569
"39","Rhode Island",1056611,39.9,6.6,15,1545,"28.2","18.2","8.3","19.9","13.4","88","33.3",13.1,0.231346257,0.326769265,0.277008284,0.164876194,683.890614886731,5,2,"RI",44,277.505680448348,299.524428371812,80.2091893028565,89.1527791019399,39.8402248070265,79.4739710692617,3985,0.266333333333333,0.135724553166667,0.222833333333333,0.0893333333333333,377.149206283107
"40","South Carolina",4955925,39.2,27,5.6,32020,"29.5","20.6","9.6","17.4","10","87.1","27.4",16,0.248876446,0.320878141,0.262954141,0.167291273,154.775921299188,4,3,"SC",45,287.477054798179,305.612311727135,84.0175045856172,96.3150593430936,57.7886986367222,90.4321611088431,15056,0.362872340425532,0.180614652042553,0.297446808510638,0.152872340425532,303.797979186529
"41","South Dakota",864289,36.8,1.9,3.7,77116,"30.6","21.2","11.5","19.8","8.6","91.7","28.5",13.6,0.273599456,0.317751354,0.250359544,0.158289646,11.2076482182686,1,2,"SD",46,272.679365302316,302.030230958971,91.3644499316887,88.6311681802853,31.1528575441688,83.9844157261478,3407,0.331164179104478,0.170799952671642,0.244134328358209,0.112522388059701,394.196848507849
"42","Tennessee",6651089,38.7,16.8,5.3,42144,"32.4","20.8","7.1","16.8","9.8","87","26.6",16.1,0.250883276,0.328205351,0.26376222,0.157149153,157.81817103265,4,3,"TN",47,282.660199865768,303.775277117506,88.3197621451497,96.3049314769005,49.1183597583824,87.1254988115108,25551,0.337708333333333,0.223471189697917,0.3000625,0.1443125,384.162653664686
"43","Texas",27885195,34.4,12.1,39.2,268596,"25","21.8","7.1","19.1","10.2","83.2","29.3",15.5,0.289459192,0.353595842,0.237246539,0.119698428,103.818355448331,3,3,"TX",48,289.109361664241,307.687605006016,84.2449370154972,88.0828250975243,60.7268509956339,94.1676890108288,91310,0.31243137254902,0.149457309396078,0.272749019607843,0.11356862745098,327.449745285984
"44","Utah",3045350,30.7,1.2,13.9,84897,"22.9","26.1","9.8","22","11.3","92","33.3",10.3,0.331318568,0.365993728,0.197521139,0.105166565,35.8711144092253,1,1,"UT",49,276.737515060709,301.445779009111,83.752170620104,52.0617262697679,38.4575271092762,82.9324022163998,6110,0.268933333333333,0.100105992066667,0.201966666666667,0.0845666666666667,200.633753098987
"45","Vermont",624977,42.9,1.3,1.9,9616,"29.2","17.6","8.5","22.1","15.3","92.6","37.3",11.2,0.223003407,0.302849545,0.292460363,0.181686686,64.9934484193012,2,1,"VT",50,271.433705181648,297.477524393005,89.1226245051887,92.7557396724918,28.9106693269665,75.7895439074091,1468,0.277333333333333,0.146950397,0.2082,0.0916,234.888643902096
"46","Virginia",8413774,38.1,19.2,9.2,42775,"24.1","19.4","7.6","21.7","16.4","89.3","38.2",10.9,0.249581341,0.338758802,0.265441763,0.146218094,196.698398597312,4,1,"VA",51,281.87266720075,302.878527090702,83.0115469926086,93.967005312992,47.7008009613501,85.5113487632636,22196,0.325223880597015,0.169866105,0.266261194029851,0.127485074626866,263.805517001051
"47","Washington",7294336,37.6,3.7,12.5,71298,"22.2","23.7","10","22.1","13.2","91.1","35.3",11.5,0.247758398,0.346530651,0.258542107,0.147168844,102.307722516761,3,1,"WA",53,278.144160321321,297.587365087515,93.7275883282429,77.5403979278542,40.9894885783779,75.9872571575271,15873,0.309025,0.140474281375,0.201025,0.101725,217.607195500728
"48","West Virginia",1829054,42.4,3.6,1.5,24230,"40.5","18.6","7.1","12.2","8","86.5","20.3",17.8,0.228953328,0.304644915,0.277933292,0.188468465,75.4871646718943,3,3,"WV",54,278.582040344534,300.957338417858,88.1209500360501,93.7429944084197,41.7776726201612,82.0532091521445,7772,0.370946428571429,0.229384141464286,0.294392857142857,0.153821428571429,424.919111190812
"49","Wisconsin",5778394,39.3,6.4,6.7,65496,"30.9","20.7","10.7","19.4","10.1","91.9","29.5",11.9,0.250116036,0.316088519,0.273769148,0.160026298,88.225143520215,3,1,"WI",55,270.816947855426,299.524270653402,91.9088458692107,90.8740447709769,27.8005061397669,79.4736871761237,19131,0.325643835616438,0.16085842730137,0.226534246575342,0.0997945205479452,331.078150780303
"50","Wyoming",581836,37.3,1,9.8,97813,"28.7","26.3","11","17.4","9.5","92.9","26.9",11.1,0.262314467,0.329716621,0.257106814,0.150862099,5.94845265966692,1,1,"WY",56,274.542209189862,299.792329837857,85.8736041666324,71.8892657438649,34.5059765417516,79.9561937081426,1829,0.288458333333333,0.16166986,0.250166666666667,0.0934166666666667,314.349748038966
